,combination,f1_deceased,recall_deceased,overall_accuracy,overall_recall
77,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.4595968279303555,0.31882666666666665,0.9086698257618725,0.9086698257618725
78,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.4631621045829511,0.32168,0.909111977117905,0.909111977117905
79,"{'boosting_type': 'gbdt', 'learning_rate': 0.07, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.46865925901859495,0.32754666666666665,0.9094199584072794,0.9094199584072794
80,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.2538398110252907,0.2297866666666667,0.5677985741381097,0.5677985741381097
81,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.29515976160323093,0.46538666666666667,0.58990919125943,0.58990919125943
82,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.15344883982357957,0.12087999999999999,0.5815754005281422,0.5815754005281422
83,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.19934941418914157,0.30317333333333335,0.5558025504509944,0.5558025504509944
84,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.22667114913217082,0.27352,0.51473431277482,0.51473431277482
85,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.24903688249517578,0.22386666666666666,0.5704667288727885,0.5704667288727885
86,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.1796694052998149,0.19549333333333332,0.5684023394380714,0.5684023394380714
87,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.22277699914788607,0.22098666666666666,0.6069640363234962,0.6069640363234962
88,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.14081603892052166,0.12864,0.486028017149374,0.486028017149374
89,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.21487610488088985,0.26722666666666667,0.597587378255911,0.597587378255911
90,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.31572387955439624,0.36434666666666665,0.6638064047910911,0.6638064047910911
91,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.18484454916532353,0.2212533333333333,0.5732812509529124,0.5732812509529124
92,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.2486248241819716,0.2006933333333333,0.6749455696434126,0.6749455696434126
93,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.21054444518704873,0.17896,0.6350391227717097,0.6350391227717097
94,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.28859566852719926,0.30616,0.6376066499563947,0.6376066499563947
95,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.20512891281332477,0.23066666666666666,0.6029816247995071,0.6029816247995071
96,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.2705397791758504,0.26450666666666667,0.5951082813424325,0.5951082813424325
97,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.25072013679504374,0.42632000000000003,0.4776911770983894,0.4776911770983894
98,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.2501156842337962,0.2194666666666667,0.6834714675155973,0.6834714675155973
99,"{'boosting_type': 'gbdt', 'learning_rate': 0.9, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.217872031913694,0.25279999999999997,0.6798885168718859,0.6798885168718859
100,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.456346701556509,0.3163466666666667,0.908105701617969,0.908105701617969
101,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4557564893180695,0.31506666666666666,0.9083283019558337,0.9083283019558337
102,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.45503144269498663,0.314,0.9084075842679499,0.9084075842679499
103,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.4545011984111516,0.31312,0.9083801403906788,0.9083801403906788
104,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.4565315502938816,0.31509333333333334,0.9085387050149111,0.9085387050149111
105,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.458815892325805,0.31696,0.9087887492300467,0.9087887492300467
106,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4689424302607927,0.328,0.9094321556860665,0.9094321556860665
107,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.4674977952621211,0.32525333333333334,0.9097706301724086,0.9097706301724086
108,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.46960928103303295,0.3269333333333333,0.9099444413951248,0.9099444413951248
109,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.47258250644467575,0.3298933333333333,0.9100237237072409,0.9100237237072409
110,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.45814745475874946,0.31562666666666667,0.9089961029694275,0.9089961029694275
111,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4709279378579215,0.3292,0.909752334254228,0.909752334254228
112,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.4721505394481104,0.33,0.9101548444542024,0.9101548444542024
113,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.48008790004461627,0.33949333333333337,0.910417085948125,0.910417085948125
114,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.485474885838245,0.3447466666666667,0.9107220179178025,0.9107220179178025
115,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.4686309249817094,0.3281066666666667,0.9092583444633502,0.9092583444633502
116,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4692267569425326,0.32626666666666665,0.9099596879936086,0.9099596879936086
117,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.48126182981079485,0.3410933333333334,0.9103652475132797,0.9103652475132797
118,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.48491530983267045,0.34376,0.9109019277799123,0.9109019277799123
119,"{'boosting_type': 'gbdt', 'learning_rate': 0.11, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.4932599937822674,0.35381333333333337,0.9113440791359447,0.9113440791359447
